EVALUATE Epoch 1/50, LOSS 8.762, BEST LOSS 8.762, BEST EPOCH 1
EVALUATE Epoch 2/50, LOSS 7.751, BEST LOSS 7.751, BEST EPOCH 2
EVALUATE Epoch 1/50, LOSS 0.946, BEST LOSS 0.946, BEST EPOCH 1
EVALUATE Epoch 2/50, LOSS 0.315, BEST LOSS 0.315, BEST EPOCH 2
EVALUATE Epoch 3/50, LOSS 0.142, BEST LOSS 0.142, BEST EPOCH 3
EVALUATE Epoch 4/50, LOSS 0.111, BEST LOSS 0.111, BEST EPOCH 4
EVALUATE Epoch 5/50, LOSS 0.116, BEST LOSS 0.111, BEST EPOCH 4
EVALUATE Epoch 6/50, LOSS 0.183, BEST LOSS 0.111, BEST EPOCH 4
EVALUATE Epoch 7/50, LOSS 0.128, BEST LOSS 0.111, BEST EPOCH 4
EVALUATE Epoch 8/50, LOSS 0.106, BEST LOSS 0.106, BEST EPOCH 8
EVALUATE Epoch 9/50, LOSS 0.089, BEST LOSS 0.089, BEST EPOCH 9
EVALUATE Epoch 10/50, LOSS 0.200, BEST LOSS 0.089, BEST EPOCH 9
EVALUATE Epoch 11/50, LOSS 0.304, BEST LOSS 0.089, BEST EPOCH 9
EVALUATE Epoch 12/50, LOSS 0.070, BEST LOSS 0.070, BEST EPOCH 12
EVALUATE Epoch 13/50, LOSS 0.061, BEST LOSS 0.061, BEST EPOCH 13
EVALUATE Epoch 14/50, LOSS 0.067, BEST LOSS 0.061, BEST EPOCH 13
EVALUATE Epoch 15/50, LOSS 0.068, BEST LOSS 0.061, BEST EPOCH 13
EVALUATE Epoch 16/50, LOSS 0.106, BEST LOSS 0.061, BEST EPOCH 13
EVALUATE Epoch 17/50, LOSS 0.196, BEST LOSS 0.061, BEST EPOCH 13
EVALUATE Epoch 18/50, LOSS 0.056, BEST LOSS 0.056, BEST EPOCH 18
EVALUATE Epoch 19/50, LOSS 0.061, BEST LOSS 0.056, BEST EPOCH 18
EVALUATE Epoch 20/50, LOSS 0.056, BEST LOSS 0.056, BEST EPOCH 18
EVALUATE Epoch 21/50, LOSS 0.196, BEST LOSS 0.056, BEST EPOCH 18
EVALUATE Epoch 22/50, LOSS 0.060, BEST LOSS 0.056, BEST EPOCH 18
EVALUATE Epoch 23/50, LOSS 0.044, BEST LOSS 0.044, BEST EPOCH 23
EVALUATE Epoch 24/50, LOSS 0.049, BEST LOSS 0.044, BEST EPOCH 23
EVALUATE Epoch 25/50, LOSS 0.053, BEST LOSS 0.044, BEST EPOCH 23
EVALUATE Epoch 26/50, LOSS 0.089, BEST LOSS 0.044, BEST EPOCH 23
EVALUATE Epoch 27/50, LOSS 0.058, BEST LOSS 0.044, BEST EPOCH 23
EVALUATE Epoch 28/50, LOSS 0.111, BEST LOSS 0.044, BEST EPOCH 23
EVALUATE Epoch 29/50, LOSS 0.056, BEST LOSS 0.044, BEST EPOCH 23
EVALUATE Epoch 30/50, LOSS 0.034, BEST LOSS 0.034, BEST EPOCH 30
EVALUATE Epoch 31/50, LOSS 0.035, BEST LOSS 0.034, BEST EPOCH 30
EVALUATE Epoch 32/50, LOSS 0.031, BEST LOSS 0.031, BEST EPOCH 32
EVALUATE Epoch 33/50, LOSS 0.034, BEST LOSS 0.031, BEST EPOCH 32
EVALUATE Epoch 34/50, LOSS 0.032, BEST LOSS 0.031, BEST EPOCH 32
EVALUATE Epoch 35/50, LOSS 0.038, BEST LOSS 0.031, BEST EPOCH 32
EVALUATE Epoch 36/50, LOSS 0.029, BEST LOSS 0.029, BEST EPOCH 36
EVALUATE Epoch 37/50, LOSS 0.034, BEST LOSS 0.029, BEST EPOCH 36
EVALUATE Epoch 38/50, LOSS 0.029, BEST LOSS 0.029, BEST EPOCH 36
EVALUATE Epoch 39/50, LOSS 0.028, BEST LOSS 0.028, BEST EPOCH 39
EVALUATE Epoch 40/50, LOSS 0.029, BEST LOSS 0.028, BEST EPOCH 39
EVALUATE Epoch 41/50, LOSS 0.031, BEST LOSS 0.028, BEST EPOCH 39
EVALUATE Epoch 42/50, LOSS 0.030, BEST LOSS 0.028, BEST EPOCH 39
EVALUATE Epoch 43/50, LOSS 0.027, BEST LOSS 0.027, BEST EPOCH 43
EVALUATE Epoch 44/50, LOSS 0.027, BEST LOSS 0.027, BEST EPOCH 43
EVALUATE Epoch 45/50, LOSS 0.025, BEST LOSS 0.025, BEST EPOCH 45
EVALUATE Epoch 46/50, LOSS 0.028, BEST LOSS 0.025, BEST EPOCH 45
EVALUATE Epoch 47/50, LOSS 0.026, BEST LOSS 0.025, BEST EPOCH 45
EVALUATE Epoch 48/50, LOSS 0.027, BEST LOSS 0.025, BEST EPOCH 45
EVALUATE Epoch 49/50, LOSS 0.027, BEST LOSS 0.025, BEST EPOCH 45
EVALUATE Epoch 50/50, LOSS 0.025, BEST LOSS 0.025, BEST EPOCH 50
