EVALUATE Epoch 1/50, LOSS 0.440, BEST LOSS 0.440, BEST EPOCH 1
EVALUATE Epoch 2/50, LOSS 0.337, BEST LOSS 0.337, BEST EPOCH 2
EVALUATE Epoch 3/50, LOSS 0.223, BEST LOSS 0.223, BEST EPOCH 3
EVALUATE Epoch 4/50, LOSS 0.285, BEST LOSS 0.223, BEST EPOCH 3
EVALUATE Epoch 5/50, LOSS 0.329, BEST LOSS 0.223, BEST EPOCH 3
EVALUATE Epoch 6/50, LOSS 0.140, BEST LOSS 0.140, BEST EPOCH 6
EVALUATE Epoch 7/50, LOSS 0.110, BEST LOSS 0.110, BEST EPOCH 7
EVALUATE Epoch 8/50, LOSS 0.081, BEST LOSS 0.081, BEST EPOCH 8
EVALUATE Epoch 1/50, LOSS 0.399, BEST LOSS 0.399, BEST EPOCH 1
EVALUATE Epoch 2/50, LOSS 0.148, BEST LOSS 0.148, BEST EPOCH 2
EVALUATE Epoch 3/50, LOSS 0.173, BEST LOSS 0.148, BEST EPOCH 2
EVALUATE Epoch 4/50, LOSS 0.097, BEST LOSS 0.097, BEST EPOCH 4
EVALUATE Epoch 5/50, LOSS 0.104, BEST LOSS 0.097, BEST EPOCH 4
EVALUATE Epoch 6/50, LOSS 0.098, BEST LOSS 0.097, BEST EPOCH 4
EVALUATE Epoch 7/50, LOSS 0.066, BEST LOSS 0.066, BEST EPOCH 7
EVALUATE Epoch 8/50, LOSS 0.092, BEST LOSS 0.066, BEST EPOCH 7
EVALUATE Epoch 9/50, LOSS 0.079, BEST LOSS 0.066, BEST EPOCH 7
EVALUATE Epoch 10/50, LOSS 0.069, BEST LOSS 0.066, BEST EPOCH 7
EVALUATE Epoch 11/50, LOSS 0.101, BEST LOSS 0.066, BEST EPOCH 7
EVALUATE Epoch 12/50, LOSS 0.074, BEST LOSS 0.066, BEST EPOCH 7
EVALUATE Epoch 13/50, LOSS 0.082, BEST LOSS 0.066, BEST EPOCH 7
EVALUATE Epoch 14/50, LOSS 0.090, BEST LOSS 0.066, BEST EPOCH 7
EVALUATE Epoch 15/50, LOSS 0.037, BEST LOSS 0.037, BEST EPOCH 15
EVALUATE Epoch 16/50, LOSS 0.035, BEST LOSS 0.035, BEST EPOCH 16
EVALUATE Epoch 17/50, LOSS 0.034, BEST LOSS 0.034, BEST EPOCH 17
EVALUATE Epoch 18/50, LOSS 0.032, BEST LOSS 0.032, BEST EPOCH 18
EVALUATE Epoch 19/50, LOSS 0.033, BEST LOSS 0.032, BEST EPOCH 18
EVALUATE Epoch 20/50, LOSS 0.037, BEST LOSS 0.032, BEST EPOCH 18
EVALUATE Epoch 21/50, LOSS 0.033, BEST LOSS 0.032, BEST EPOCH 18
EVALUATE Epoch 22/50, LOSS 0.034, BEST LOSS 0.032, BEST EPOCH 18
EVALUATE Epoch 23/50, LOSS 0.033, BEST LOSS 0.032, BEST EPOCH 18
EVALUATE Epoch 24/50, LOSS 0.031, BEST LOSS 0.031, BEST EPOCH 24
EVALUATE Epoch 25/50, LOSS 0.032, BEST LOSS 0.031, BEST EPOCH 24
EVALUATE Epoch 26/50, LOSS 0.029, BEST LOSS 0.029, BEST EPOCH 26
EVALUATE Epoch 27/50, LOSS 0.033, BEST LOSS 0.029, BEST EPOCH 26
EVALUATE Epoch 28/50, LOSS 0.031, BEST LOSS 0.029, BEST EPOCH 26
EVALUATE Epoch 29/50, LOSS 0.032, BEST LOSS 0.029, BEST EPOCH 26
EVALUATE Epoch 30/50, LOSS 0.024, BEST LOSS 0.024, BEST EPOCH 30
EVALUATE Epoch 31/50, LOSS 0.025, BEST LOSS 0.024, BEST EPOCH 30
EVALUATE Epoch 32/50, LOSS 0.025, BEST LOSS 0.024, BEST EPOCH 30
EVALUATE Epoch 33/50, LOSS 0.025, BEST LOSS 0.024, BEST EPOCH 30
EVALUATE Epoch 34/50, LOSS 0.025, BEST LOSS 0.024, BEST EPOCH 30
EVALUATE Epoch 35/50, LOSS 0.024, BEST LOSS 0.024, BEST EPOCH 35
EVALUATE Epoch 36/50, LOSS 0.024, BEST LOSS 0.024, BEST EPOCH 36
EVALUATE Epoch 37/50, LOSS 0.024, BEST LOSS 0.024, BEST EPOCH 36
EVALUATE Epoch 38/50, LOSS 0.025, BEST LOSS 0.024, BEST EPOCH 36
EVALUATE Epoch 39/50, LOSS 0.023, BEST LOSS 0.023, BEST EPOCH 39
EVALUATE Epoch 40/50, LOSS 0.023, BEST LOSS 0.023, BEST EPOCH 40
EVALUATE Epoch 41/50, LOSS 0.023, BEST LOSS 0.023, BEST EPOCH 41
EVALUATE Epoch 42/50, LOSS 0.023, BEST LOSS 0.023, BEST EPOCH 41
EVALUATE Epoch 43/50, LOSS 0.024, BEST LOSS 0.023, BEST EPOCH 41
EVALUATE Epoch 44/50, LOSS 0.023, BEST LOSS 0.023, BEST EPOCH 44
EVALUATE Epoch 45/50, LOSS 0.023, BEST LOSS 0.023, BEST EPOCH 44
EVALUATE Epoch 46/50, LOSS 0.024, BEST LOSS 0.023, BEST EPOCH 44
EVALUATE Epoch 47/50, LOSS 0.023, BEST LOSS 0.023, BEST EPOCH 47
EVALUATE Epoch 48/50, LOSS 0.023, BEST LOSS 0.023, BEST EPOCH 47
EVALUATE Epoch 49/50, LOSS 0.024, BEST LOSS 0.023, BEST EPOCH 47
EVALUATE Epoch 50/50, LOSS 0.024, BEST LOSS 0.023, BEST EPOCH 47
EVALUATE Epoch 1/50, LOSS 10.322, BEST LOSS 10.322, BEST EPOCH 1
EVALUATE Epoch 1/50, LOSS 3.300, BEST LOSS 3.300, BEST EPOCH 1
EVALUATE Epoch 2/50, LOSS 3.437, BEST LOSS 3.300, BEST EPOCH 1
EVALUATE Epoch 3/50, LOSS 3.134, BEST LOSS 3.134, BEST EPOCH 3
EVALUATE Epoch 4/50, LOSS 3.109, BEST LOSS 3.109, BEST EPOCH 4
EVALUATE Epoch 5/50, LOSS 2.960, BEST LOSS 2.960, BEST EPOCH 5
EVALUATE Epoch 6/50, LOSS 3.039, BEST LOSS 2.960, BEST EPOCH 5
EVALUATE Epoch 7/50, LOSS 2.955, BEST LOSS 2.955, BEST EPOCH 7
