EVALUATE Epoch 1/50, LOSS 6.696, BEST LOSS 6.696, BEST EPOCH 1
EVALUATE Epoch 2/50, LOSS 2.627, BEST LOSS 2.627, BEST EPOCH 2
EVALUATE Epoch 3/50, LOSS 1.764, BEST LOSS 1.764, BEST EPOCH 3
EVALUATE Epoch 4/50, LOSS 1.041, BEST LOSS 1.041, BEST EPOCH 4
EVALUATE Epoch 5/50, LOSS 0.496, BEST LOSS 0.496, BEST EPOCH 5
EVALUATE Epoch 6/50, LOSS 0.387, BEST LOSS 0.387, BEST EPOCH 6
EVALUATE Epoch 7/50, LOSS 0.249, BEST LOSS 0.249, BEST EPOCH 7
EVALUATE Epoch 8/50, LOSS 0.374, BEST LOSS 0.249, BEST EPOCH 7
EVALUATE Epoch 9/50, LOSS 0.306, BEST LOSS 0.249, BEST EPOCH 7
EVALUATE Epoch 10/50, LOSS 0.352, BEST LOSS 0.249, BEST EPOCH 7
EVALUATE Epoch 11/50, LOSS 0.130, BEST LOSS 0.130, BEST EPOCH 11
EVALUATE Epoch 12/50, LOSS 0.151, BEST LOSS 0.130, BEST EPOCH 11
EVALUATE Epoch 13/50, LOSS 0.213, BEST LOSS 0.130, BEST EPOCH 11
EVALUATE Epoch 14/50, LOSS 0.192, BEST LOSS 0.130, BEST EPOCH 11
EVALUATE Epoch 15/50, LOSS 0.129, BEST LOSS 0.129, BEST EPOCH 15
EVALUATE Epoch 16/50, LOSS 0.138, BEST LOSS 0.129, BEST EPOCH 15
EVALUATE Epoch 17/50, LOSS 0.390, BEST LOSS 0.129, BEST EPOCH 15
EVALUATE Epoch 18/50, LOSS 0.228, BEST LOSS 0.129, BEST EPOCH 15
EVALUATE Epoch 19/50, LOSS 0.159, BEST LOSS 0.129, BEST EPOCH 15
EVALUATE Epoch 20/50, LOSS 0.110, BEST LOSS 0.110, BEST EPOCH 20
EVALUATE Epoch 21/50, LOSS 0.198, BEST LOSS 0.110, BEST EPOCH 20
EVALUATE Epoch 22/50, LOSS 0.326, BEST LOSS 0.110, BEST EPOCH 20
EVALUATE Epoch 23/50, LOSS 0.215, BEST LOSS 0.110, BEST EPOCH 20
EVALUATE Epoch 24/50, LOSS 0.251, BEST LOSS 0.110, BEST EPOCH 20
EVALUATE Epoch 25/50, LOSS 0.084, BEST LOSS 0.084, BEST EPOCH 25
EVALUATE Epoch 26/50, LOSS 0.075, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 27/50, LOSS 0.103, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 28/50, LOSS 0.098, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 29/50, LOSS 0.106, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 30/50, LOSS 0.202, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 31/50, LOSS 0.232, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 32/50, LOSS 0.142, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 33/50, LOSS 0.311, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 34/50, LOSS 0.090, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 35/50, LOSS 0.160, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 36/50, LOSS 0.084, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 37/50, LOSS 0.127, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 38/50, LOSS 0.103, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 39/50, LOSS 0.189, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 40/50, LOSS 0.401, BEST LOSS 0.075, BEST EPOCH 26
EVALUATE Epoch 41/50, LOSS 0.162, BEST LOSS 0.075, BEST EPOCH 26
