EVALUATE Epoch 1/30, LOSS 34.583, BEST LOSS 34.583, BEST EPOCH 1
EVALUATE Epoch 2/30, LOSS 23.644, BEST LOSS 23.644, BEST EPOCH 2
EVALUATE Epoch 3/30, LOSS 13.603, BEST LOSS 13.603, BEST EPOCH 3
EVALUATE Epoch 4/30, LOSS 10.934, BEST LOSS 10.934, BEST EPOCH 4
EVALUATE Epoch 5/30, LOSS 9.816, BEST LOSS 9.816, BEST EPOCH 5
EVALUATE Epoch 6/30, LOSS 8.365, BEST LOSS 8.365, BEST EPOCH 6
EVALUATE Epoch 7/30, LOSS 10.431, BEST LOSS 8.365, BEST EPOCH 6
EVALUATE Epoch 8/30, LOSS 7.747, BEST LOSS 7.747, BEST EPOCH 8
EVALUATE Epoch 9/30, LOSS 8.401, BEST LOSS 7.747, BEST EPOCH 8
EVALUATE Epoch 10/30, LOSS 6.369, BEST LOSS 6.369, BEST EPOCH 10
EVALUATE Epoch 11/30, LOSS 6.402, BEST LOSS 6.369, BEST EPOCH 10
EVALUATE Epoch 12/30, LOSS 6.411, BEST LOSS 6.369, BEST EPOCH 10
EVALUATE Epoch 13/30, LOSS 5.978, BEST LOSS 5.978, BEST EPOCH 13
EVALUATE Epoch 14/30, LOSS 6.772, BEST LOSS 5.978, BEST EPOCH 13
EVALUATE Epoch 15/30, LOSS 5.898, BEST LOSS 5.898, BEST EPOCH 15
EVALUATE Epoch 16/30, LOSS 5.867, BEST LOSS 5.867, BEST EPOCH 16
EVALUATE Epoch 17/30, LOSS 5.581, BEST LOSS 5.581, BEST EPOCH 17
EVALUATE Epoch 18/30, LOSS 5.663, BEST LOSS 5.581, BEST EPOCH 17
EVALUATE Epoch 19/30, LOSS 5.609, BEST LOSS 5.581, BEST EPOCH 17
EVALUATE Epoch 20/30, LOSS 5.855, BEST LOSS 5.581, BEST EPOCH 17
EVALUATE Epoch 21/30, LOSS 5.786, BEST LOSS 5.581, BEST EPOCH 17
EVALUATE Epoch 22/30, LOSS 6.090, BEST LOSS 5.581, BEST EPOCH 17
EVALUATE Epoch 23/30, LOSS 5.934, BEST LOSS 5.581, BEST EPOCH 17
EVALUATE Epoch 24/30, LOSS 5.655, BEST LOSS 5.581, BEST EPOCH 17
EVALUATE Epoch 25/30, LOSS 5.120, BEST LOSS 5.120, BEST EPOCH 25
EVALUATE Epoch 26/30, LOSS 5.619, BEST LOSS 5.120, BEST EPOCH 25
EVALUATE Epoch 27/30, LOSS 5.323, BEST LOSS 5.120, BEST EPOCH 25
EVALUATE Epoch 28/30, LOSS 5.366, BEST LOSS 5.120, BEST EPOCH 25
EVALUATE Epoch 29/30, LOSS 5.713, BEST LOSS 5.120, BEST EPOCH 25
EVALUATE Epoch 30/30, LOSS 6.310, BEST LOSS 5.120, BEST EPOCH 25
