EVALUATE Epoch 30/50, LOSS 0.126, BEST LOSS 0.126, BEST EPOCH 30
EVALUATE Epoch 31/50, LOSS 0.111, BEST LOSS 0.111, BEST EPOCH 31
EVALUATE Epoch 32/50, LOSS 0.104, BEST LOSS 0.104, BEST EPOCH 32
EVALUATE Epoch 33/50, LOSS 0.115, BEST LOSS 0.104, BEST EPOCH 32
EVALUATE Epoch 34/50, LOSS 0.114, BEST LOSS 0.104, BEST EPOCH 32
EVALUATE Epoch 35/50, LOSS 0.109, BEST LOSS 0.104, BEST EPOCH 32
EVALUATE Epoch 36/50, LOSS 0.102, BEST LOSS 0.102, BEST EPOCH 36
EVALUATE Epoch 37/50, LOSS 0.118, BEST LOSS 0.102, BEST EPOCH 36
EVALUATE Epoch 38/50, LOSS 0.133, BEST LOSS 0.102, BEST EPOCH 36
EVALUATE Epoch 39/50, LOSS 0.116, BEST LOSS 0.102, BEST EPOCH 36
EVALUATE Epoch 40/50, LOSS 0.101, BEST LOSS 0.101, BEST EPOCH 40
EVALUATE Epoch 41/50, LOSS 0.125, BEST LOSS 0.101, BEST EPOCH 40
EVALUATE Epoch 42/50, LOSS 0.121, BEST LOSS 0.101, BEST EPOCH 40
EVALUATE Epoch 43/50, LOSS 0.134, BEST LOSS 0.101, BEST EPOCH 40
EVALUATE Epoch 44/50, LOSS 0.111, BEST LOSS 0.101, BEST EPOCH 40
EVALUATE Epoch 45/50, LOSS 0.104, BEST LOSS 0.101, BEST EPOCH 40
EVALUATE Epoch 46/50, LOSS 0.108, BEST LOSS 0.101, BEST EPOCH 40
EVALUATE Epoch 47/50, LOSS 0.137, BEST LOSS 0.101, BEST EPOCH 40
EVALUATE Epoch 48/50, LOSS 0.106, BEST LOSS 0.101, BEST EPOCH 40
EVALUATE Epoch 49/50, LOSS 0.112, BEST LOSS 0.101, BEST EPOCH 40
EVALUATE Epoch 50/50, LOSS 0.133, BEST LOSS 0.101, BEST EPOCH 40
EVALUATE Epoch 41/50, LOSS 0.091, BEST LOSS 0.091, BEST EPOCH 41
EVALUATE Epoch 42/50, LOSS 0.087, BEST LOSS 0.087, BEST EPOCH 42
EVALUATE Epoch 43/50, LOSS 0.087, BEST LOSS 0.087, BEST EPOCH 42
EVALUATE Epoch 44/50, LOSS 0.087, BEST LOSS 0.087, BEST EPOCH 42
EVALUATE Epoch 45/50, LOSS 0.086, BEST LOSS 0.086, BEST EPOCH 45
EVALUATE Epoch 46/50, LOSS 0.087, BEST LOSS 0.086, BEST EPOCH 45
EVALUATE Epoch 47/50, LOSS 0.088, BEST LOSS 0.086, BEST EPOCH 45
EVALUATE Epoch 48/50, LOSS 0.089, BEST LOSS 0.086, BEST EPOCH 45
EVALUATE Epoch 49/50, LOSS 0.087, BEST LOSS 0.086, BEST EPOCH 45
EVALUATE Epoch 50/50, LOSS 0.091, BEST LOSS 0.086, BEST EPOCH 45
EVALUATE Epoch 1/50, LOSS 5.823, BEST LOSS 5.823, BEST EPOCH 1
EVALUATE Epoch 2/50, LOSS 2.249, BEST LOSS 2.249, BEST EPOCH 2
EVALUATE Epoch 3/50, LOSS 1.663, BEST LOSS 1.663, BEST EPOCH 3
EVALUATE Epoch 4/50, LOSS 1.068, BEST LOSS 1.068, BEST EPOCH 4
EVALUATE Epoch 5/50, LOSS 1.263, BEST LOSS 1.068, BEST EPOCH 4
EVALUATE Epoch 6/50, LOSS 0.637, BEST LOSS 0.637, BEST EPOCH 6
EVALUATE Epoch 7/50, LOSS 0.566, BEST LOSS 0.566, BEST EPOCH 7
EVALUATE Epoch 8/50, LOSS 0.788, BEST LOSS 0.566, BEST EPOCH 7
EVALUATE Epoch 9/50, LOSS 0.915, BEST LOSS 0.566, BEST EPOCH 7
EVALUATE Epoch 10/50, LOSS 0.873, BEST LOSS 0.566, BEST EPOCH 7
EVALUATE Epoch 11/50, LOSS 0.699, BEST LOSS 0.566, BEST EPOCH 7
EVALUATE Epoch 12/50, LOSS 0.599, BEST LOSS 0.566, BEST EPOCH 7
EVALUATE Epoch 13/50, LOSS 0.680, BEST LOSS 0.566, BEST EPOCH 7
EVALUATE Epoch 14/50, LOSS 0.575, BEST LOSS 0.566, BEST EPOCH 7
EVALUATE Epoch 15/50, LOSS 0.680, BEST LOSS 0.566, BEST EPOCH 7
EVALUATE Epoch 16/50, LOSS 0.878, BEST LOSS 0.566, BEST EPOCH 7
EVALUATE Epoch 17/50, LOSS 0.748, BEST LOSS 0.566, BEST EPOCH 7
EVALUATE Epoch 18/50, LOSS 0.539, BEST LOSS 0.539, BEST EPOCH 18
EVALUATE Epoch 19/50, LOSS 0.520, BEST LOSS 0.520, BEST EPOCH 19
EVALUATE Epoch 20/50, LOSS 0.561, BEST LOSS 0.520, BEST EPOCH 19
EVALUATE Epoch 21/50, LOSS 0.490, BEST LOSS 0.490, BEST EPOCH 21
EVALUATE Epoch 22/50, LOSS 0.590, BEST LOSS 0.490, BEST EPOCH 21
EVALUATE Epoch 23/50, LOSS 0.560, BEST LOSS 0.490, BEST EPOCH 21
EVALUATE Epoch 24/50, LOSS 0.535, BEST LOSS 0.490, BEST EPOCH 21
EVALUATE Epoch 25/50, LOSS 0.613, BEST LOSS 0.490, BEST EPOCH 21
EVALUATE Epoch 26/50, LOSS 0.507, BEST LOSS 0.490, BEST EPOCH 21
