EVALUATE Epoch 1/50, LOSS 8.378, BEST LOSS 8.378, BEST EPOCH 1
EVALUATE Epoch 2/50, LOSS 7.867, BEST LOSS 7.867, BEST EPOCH 2
EVALUATE Epoch 3/50, LOSS 2.866, BEST LOSS 2.866, BEST EPOCH 3
EVALUATE Epoch 4/50, LOSS 1.487, BEST LOSS 1.487, BEST EPOCH 4
EVALUATE Epoch 5/50, LOSS 0.843, BEST LOSS 0.843, BEST EPOCH 5
EVALUATE Epoch 6/50, LOSS 0.527, BEST LOSS 0.527, BEST EPOCH 6
EVALUATE Epoch 7/50, LOSS 0.442, BEST LOSS 0.442, BEST EPOCH 7
EVALUATE Epoch 8/50, LOSS 0.347, BEST LOSS 0.347, BEST EPOCH 8
EVALUATE Epoch 9/50, LOSS 0.310, BEST LOSS 0.310, BEST EPOCH 9
EVALUATE Epoch 10/50, LOSS 0.384, BEST LOSS 0.310, BEST EPOCH 9
EVALUATE Epoch 11/50, LOSS 0.251, BEST LOSS 0.251, BEST EPOCH 11
EVALUATE Epoch 12/50, LOSS 0.329, BEST LOSS 0.251, BEST EPOCH 11
EVALUATE Epoch 13/50, LOSS 0.274, BEST LOSS 0.251, BEST EPOCH 11
EVALUATE Epoch 14/50, LOSS 0.230, BEST LOSS 0.230, BEST EPOCH 14
EVALUATE Epoch 15/50, LOSS 0.201, BEST LOSS 0.201, BEST EPOCH 15
EVALUATE Epoch 16/50, LOSS 0.241, BEST LOSS 0.201, BEST EPOCH 15
EVALUATE Epoch 17/50, LOSS 0.201, BEST LOSS 0.201, BEST EPOCH 17
EVALUATE Epoch 18/50, LOSS 0.218, BEST LOSS 0.201, BEST EPOCH 17
EVALUATE Epoch 19/50, LOSS 0.214, BEST LOSS 0.201, BEST EPOCH 17
EVALUATE Epoch 20/50, LOSS 0.374, BEST LOSS 0.201, BEST EPOCH 17
EVALUATE Epoch 21/50, LOSS 0.212, BEST LOSS 0.201, BEST EPOCH 17
EVALUATE Epoch 22/50, LOSS 0.195, BEST LOSS 0.195, BEST EPOCH 22
EVALUATE Epoch 23/50, LOSS 0.170, BEST LOSS 0.170, BEST EPOCH 23
EVALUATE Epoch 24/50, LOSS 0.173, BEST LOSS 0.170, BEST EPOCH 23
EVALUATE Epoch 25/50, LOSS 0.235, BEST LOSS 0.170, BEST EPOCH 23
EVALUATE Epoch 26/50, LOSS 0.145, BEST LOSS 0.145, BEST EPOCH 26
EVALUATE Epoch 27/50, LOSS 0.149, BEST LOSS 0.145, BEST EPOCH 26
EVALUATE Epoch 28/50, LOSS 0.178, BEST LOSS 0.145, BEST EPOCH 26
EVALUATE Epoch 29/50, LOSS 0.136, BEST LOSS 0.136, BEST EPOCH 29
EVALUATE Epoch 30/50, LOSS 0.218, BEST LOSS 0.136, BEST EPOCH 29
EVALUATE Epoch 31/50, LOSS 0.147, BEST LOSS 0.136, BEST EPOCH 29
EVALUATE Epoch 32/50, LOSS 0.162, BEST LOSS 0.136, BEST EPOCH 29
EVALUATE Epoch 33/50, LOSS 0.243, BEST LOSS 0.136, BEST EPOCH 29
EVALUATE Epoch 34/50, LOSS 0.131, BEST LOSS 0.131, BEST EPOCH 34
EVALUATE Epoch 35/50, LOSS 0.149, BEST LOSS 0.131, BEST EPOCH 34
EVALUATE Epoch 36/50, LOSS 0.162, BEST LOSS 0.131, BEST EPOCH 34
EVALUATE Epoch 37/50, LOSS 0.141, BEST LOSS 0.131, BEST EPOCH 34
EVALUATE Epoch 38/50, LOSS 0.135, BEST LOSS 0.131, BEST EPOCH 34
EVALUATE Epoch 39/50, LOSS 0.128, BEST LOSS 0.128, BEST EPOCH 39
EVALUATE Epoch 40/50, LOSS 0.126, BEST LOSS 0.126, BEST EPOCH 40
EVALUATE Epoch 41/50, LOSS 0.169, BEST LOSS 0.126, BEST EPOCH 40
EVALUATE Epoch 42/50, LOSS 0.127, BEST LOSS 0.126, BEST EPOCH 40
EVALUATE Epoch 43/50, LOSS 0.166, BEST LOSS 0.126, BEST EPOCH 40
EVALUATE Epoch 44/50, LOSS 0.133, BEST LOSS 0.126, BEST EPOCH 40
EVALUATE Epoch 45/50, LOSS 0.134, BEST LOSS 0.126, BEST EPOCH 40
EVALUATE Epoch 46/50, LOSS 0.161, BEST LOSS 0.126, BEST EPOCH 40
EVALUATE Epoch 47/50, LOSS 0.133, BEST LOSS 0.126, BEST EPOCH 40
EVALUATE Epoch 48/50, LOSS 0.134, BEST LOSS 0.126, BEST EPOCH 40
EVALUATE Epoch 49/50, LOSS 0.138, BEST LOSS 0.126, BEST EPOCH 40
EVALUATE Epoch 50/50, LOSS 0.108, BEST LOSS 0.108, BEST EPOCH 50
