EVALUATE Epoch 1/50, LOSS 0.405, BEST LOSS 0.405, BEST EPOCH 1
EVALUATE Epoch 1/50, LOSS 0.357, BEST LOSS 0.357, BEST EPOCH 1
EVALUATE Epoch 1/50, LOSS 0.408, BEST LOSS 0.408, BEST EPOCH 1
EVALUATE Epoch 2/50, LOSS 0.298, BEST LOSS 0.298, BEST EPOCH 2
EVALUATE Epoch 3/50, LOSS 0.199, BEST LOSS 0.199, BEST EPOCH 3
EVALUATE Epoch 4/50, LOSS 0.195, BEST LOSS 0.195, BEST EPOCH 4
EVALUATE Epoch 5/50, LOSS 0.132, BEST LOSS 0.132, BEST EPOCH 5
EVALUATE Epoch 6/50, LOSS 0.127, BEST LOSS 0.127, BEST EPOCH 6
EVALUATE Epoch 7/50, LOSS 0.146, BEST LOSS 0.127, BEST EPOCH 6
EVALUATE Epoch 8/50, LOSS 0.177, BEST LOSS 0.127, BEST EPOCH 6
EVALUATE Epoch 9/50, LOSS 0.126, BEST LOSS 0.126, BEST EPOCH 9
EVALUATE Epoch 10/50, LOSS 0.125, BEST LOSS 0.125, BEST EPOCH 10
EVALUATE Epoch 11/50, LOSS 0.137, BEST LOSS 0.125, BEST EPOCH 10
EVALUATE Epoch 12/50, LOSS 0.244, BEST LOSS 0.125, BEST EPOCH 10
EVALUATE Epoch 13/50, LOSS 0.168, BEST LOSS 0.125, BEST EPOCH 10
EVALUATE Epoch 14/50, LOSS 0.112, BEST LOSS 0.112, BEST EPOCH 14
EVALUATE Epoch 15/50, LOSS 0.243, BEST LOSS 0.112, BEST EPOCH 14
EVALUATE Epoch 16/50, LOSS 0.202, BEST LOSS 0.112, BEST EPOCH 14
EVALUATE Epoch 17/50, LOSS 0.115, BEST LOSS 0.112, BEST EPOCH 14
EVALUATE Epoch 18/50, LOSS 0.201, BEST LOSS 0.112, BEST EPOCH 14
EVALUATE Epoch 19/50, LOSS 0.123, BEST LOSS 0.112, BEST EPOCH 14
EVALUATE Epoch 20/50, LOSS 0.101, BEST LOSS 0.101, BEST EPOCH 20
EVALUATE Epoch 21/50, LOSS 0.101, BEST LOSS 0.101, BEST EPOCH 20
EVALUATE Epoch 22/50, LOSS 0.144, BEST LOSS 0.101, BEST EPOCH 20
EVALUATE Epoch 23/50, LOSS 0.202, BEST LOSS 0.101, BEST EPOCH 20
EVALUATE Epoch 24/50, LOSS 0.092, BEST LOSS 0.092, BEST EPOCH 24
EVALUATE Epoch 25/50, LOSS 0.108, BEST LOSS 0.092, BEST EPOCH 24
EVALUATE Epoch 26/50, LOSS 0.130, BEST LOSS 0.092, BEST EPOCH 24
EVALUATE Epoch 27/50, LOSS 0.219, BEST LOSS 0.092, BEST EPOCH 24
EVALUATE Epoch 28/50, LOSS 0.138, BEST LOSS 0.092, BEST EPOCH 24
EVALUATE Epoch 29/50, LOSS 0.111, BEST LOSS 0.092, BEST EPOCH 24
EVALUATE Epoch 30/50, LOSS 0.121, BEST LOSS 0.092, BEST EPOCH 24
EVALUATE Epoch 31/50, LOSS 0.088, BEST LOSS 0.088, BEST EPOCH 31
EVALUATE Epoch 32/50, LOSS 0.103, BEST LOSS 0.088, BEST EPOCH 31
EVALUATE Epoch 33/50, LOSS 0.102, BEST LOSS 0.088, BEST EPOCH 31
EVALUATE Epoch 34/50, LOSS 0.126, BEST LOSS 0.088, BEST EPOCH 31
EVALUATE Epoch 35/50, LOSS 0.085, BEST LOSS 0.085, BEST EPOCH 35
EVALUATE Epoch 36/50, LOSS 0.131, BEST LOSS 0.085, BEST EPOCH 35
EVALUATE Epoch 37/50, LOSS 0.114, BEST LOSS 0.085, BEST EPOCH 35
EVALUATE Epoch 38/50, LOSS 0.109, BEST LOSS 0.085, BEST EPOCH 35
EVALUATE Epoch 39/50, LOSS 0.132, BEST LOSS 0.085, BEST EPOCH 35
EVALUATE Epoch 40/50, LOSS 0.107, BEST LOSS 0.085, BEST EPOCH 35
EVALUATE Epoch 41/50, LOSS 0.092, BEST LOSS 0.085, BEST EPOCH 35
EVALUATE Epoch 42/50, LOSS 0.121, BEST LOSS 0.085, BEST EPOCH 35
EVALUATE Epoch 43/50, LOSS 0.091, BEST LOSS 0.085, BEST EPOCH 35
EVALUATE Epoch 44/50, LOSS 0.096, BEST LOSS 0.085, BEST EPOCH 35
EVALUATE Epoch 45/50, LOSS 0.096, BEST LOSS 0.085, BEST EPOCH 35
EVALUATE Epoch 46/50, LOSS 0.113, BEST LOSS 0.085, BEST EPOCH 35
EVALUATE Epoch 47/50, LOSS 0.085, BEST LOSS 0.085, BEST EPOCH 47
EVALUATE Epoch 48/50, LOSS 0.111, BEST LOSS 0.085, BEST EPOCH 47
EVALUATE Epoch 49/50, LOSS 0.093, BEST LOSS 0.085, BEST EPOCH 47
EVALUATE Epoch 50/50, LOSS 0.152, BEST LOSS 0.085, BEST EPOCH 47
EVALUATE Epoch 1/50, LOSS 87.367, BEST LOSS 87.367, BEST EPOCH 1
EVALUATE Epoch 1/50, LOSS 492.618, BEST LOSS 492.618, BEST EPOCH 1
