EVALUATE Epoch 1/30, LOSS 3.925, BEST LOSS 3.925, BEST EPOCH 1
EVALUATE Epoch 2/30, LOSS 1.861, BEST LOSS 1.861, BEST EPOCH 2
EVALUATE Epoch 3/30, LOSS 1.349, BEST LOSS 1.349, BEST EPOCH 3
EVALUATE Epoch 4/30, LOSS 1.149, BEST LOSS 1.149, BEST EPOCH 4
EVALUATE Epoch 5/30, LOSS 0.982, BEST LOSS 0.982, BEST EPOCH 5
EVALUATE Epoch 6/30, LOSS 0.831, BEST LOSS 0.831, BEST EPOCH 6
EVALUATE Epoch 7/30, LOSS 0.718, BEST LOSS 0.718, BEST EPOCH 7
EVALUATE Epoch 8/30, LOSS 0.747, BEST LOSS 0.718, BEST EPOCH 7
EVALUATE Epoch 9/30, LOSS 0.699, BEST LOSS 0.699, BEST EPOCH 9
EVALUATE Epoch 10/30, LOSS 0.591, BEST LOSS 0.591, BEST EPOCH 10
EVALUATE Epoch 11/30, LOSS 0.627, BEST LOSS 0.591, BEST EPOCH 10
EVALUATE Epoch 12/30, LOSS 0.547, BEST LOSS 0.547, BEST EPOCH 12
EVALUATE Epoch 13/30, LOSS 0.514, BEST LOSS 0.514, BEST EPOCH 13
EVALUATE Epoch 14/30, LOSS 0.571, BEST LOSS 0.514, BEST EPOCH 13
EVALUATE Epoch 15/30, LOSS 0.475, BEST LOSS 0.475, BEST EPOCH 15
EVALUATE Epoch 16/30, LOSS 0.518, BEST LOSS 0.475, BEST EPOCH 15
EVALUATE Epoch 17/30, LOSS 0.414, BEST LOSS 0.414, BEST EPOCH 17
EVALUATE Epoch 18/30, LOSS 0.423, BEST LOSS 0.414, BEST EPOCH 17
EVALUATE Epoch 19/30, LOSS 0.441, BEST LOSS 0.414, BEST EPOCH 17
EVALUATE Epoch 20/30, LOSS 0.415, BEST LOSS 0.414, BEST EPOCH 17
EVALUATE Epoch 21/30, LOSS 0.422, BEST LOSS 0.414, BEST EPOCH 17
EVALUATE Epoch 22/30, LOSS 0.423, BEST LOSS 0.414, BEST EPOCH 17
EVALUATE Epoch 23/30, LOSS 0.428, BEST LOSS 0.414, BEST EPOCH 17
EVALUATE Epoch 24/30, LOSS 0.403, BEST LOSS 0.403, BEST EPOCH 24
EVALUATE Epoch 25/30, LOSS 0.411, BEST LOSS 0.403, BEST EPOCH 24
EVALUATE Epoch 26/30, LOSS 0.386, BEST LOSS 0.386, BEST EPOCH 26
EVALUATE Epoch 27/30, LOSS 0.422, BEST LOSS 0.386, BEST EPOCH 26
EVALUATE Epoch 28/30, LOSS 0.432, BEST LOSS 0.386, BEST EPOCH 26
EVALUATE Epoch 29/30, LOSS 0.347, BEST LOSS 0.347, BEST EPOCH 29
EVALUATE Epoch 30/30, LOSS 0.406, BEST LOSS 0.347, BEST EPOCH 29
