EVALUATE Epoch 1/50, LOSS 25614.089, BEST LOSS 25614.090, BEST EPOCH 1
EVALUATE Epoch 2/50, LOSS 22888.833, BEST LOSS 22888.834, BEST EPOCH 2
EVALUATE Epoch 3/50, LOSS 18437.007, BEST LOSS 18437.008, BEST EPOCH 3
EVALUATE Epoch 4/50, LOSS 24293.208, BEST LOSS 18437.008, BEST EPOCH 3
EVALUATE Epoch 5/50, LOSS 18899.301, BEST LOSS 18437.008, BEST EPOCH 3
EVALUATE Epoch 6/50, LOSS 11435.268, BEST LOSS 11435.269, BEST EPOCH 6
EVALUATE Epoch 7/50, LOSS 11294.790, BEST LOSS 11294.791, BEST EPOCH 7
EVALUATE Epoch 8/50, LOSS 10403.230, BEST LOSS 10403.230, BEST EPOCH 8
EVALUATE Epoch 9/50, LOSS 10417.535, BEST LOSS 10403.230, BEST EPOCH 8
EVALUATE Epoch 10/50, LOSS 10698.178, BEST LOSS 10403.230, BEST EPOCH 8
EVALUATE Epoch 11/50, LOSS 11780.176, BEST LOSS 10403.230, BEST EPOCH 8
EVALUATE Epoch 12/50, LOSS 8455.846, BEST LOSS 8455.847, BEST EPOCH 12
EVALUATE Epoch 13/50, LOSS 8801.256, BEST LOSS 8455.847, BEST EPOCH 12
EVALUATE Epoch 14/50, LOSS 8022.938, BEST LOSS 8022.938, BEST EPOCH 14
EVALUATE Epoch 15/50, LOSS 7988.829, BEST LOSS 7988.830, BEST EPOCH 15
EVALUATE Epoch 16/50, LOSS 8264.691, BEST LOSS 7988.830, BEST EPOCH 15
EVALUATE Epoch 17/50, LOSS 7021.159, BEST LOSS 7021.159, BEST EPOCH 17
EVALUATE Epoch 18/50, LOSS 6740.621, BEST LOSS 6740.621, BEST EPOCH 18
EVALUATE Epoch 19/50, LOSS 6654.922, BEST LOSS 6654.922, BEST EPOCH 19
EVALUATE Epoch 20/50, LOSS 7029.054, BEST LOSS 6654.922, BEST EPOCH 19
EVALUATE Epoch 21/50, LOSS 6765.773, BEST LOSS 6654.922, BEST EPOCH 19
EVALUATE Epoch 22/50, LOSS 8015.479, BEST LOSS 6654.922, BEST EPOCH 19
EVALUATE Epoch 23/50, LOSS 7355.841, BEST LOSS 6654.922, BEST EPOCH 19
EVALUATE Epoch 24/50, LOSS 8874.566, BEST LOSS 6654.922, BEST EPOCH 19
EVALUATE Epoch 25/50, LOSS 6282.086, BEST LOSS 6282.086, BEST EPOCH 25
EVALUATE Epoch 26/50, LOSS 6593.896, BEST LOSS 6282.086, BEST EPOCH 25
EVALUATE Epoch 27/50, LOSS 6151.924, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 28/50, LOSS 6853.625, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 29/50, LOSS 6480.945, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 30/50, LOSS 6331.894, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 31/50, LOSS 6906.670, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 32/50, LOSS 7654.255, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 33/50, LOSS 6921.169, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 34/50, LOSS 6439.148, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 35/50, LOSS 6279.634, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 36/50, LOSS 6209.591, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 37/50, LOSS 7099.223, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 38/50, LOSS 6170.815, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 39/50, LOSS 6577.344, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 40/50, LOSS 6347.830, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 41/50, LOSS 7458.014, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 42/50, LOSS 6363.932, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 43/50, LOSS 6551.561, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 44/50, LOSS 7043.017, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 45/50, LOSS 6556.151, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 46/50, LOSS 6452.909, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 47/50, LOSS 6536.441, BEST LOSS 6151.924, BEST EPOCH 27
EVALUATE Epoch 48/50, LOSS 6644.318, BEST LOSS 6151.924, BEST EPOCH 27
