EVALUATE Epoch 1/50, LOSS 22.899, BEST LOSS 22.899, BEST EPOCH 1
EVALUATE Epoch 2/50, LOSS 19.275, BEST LOSS 19.275, BEST EPOCH 2
EVALUATE Epoch 1/50, LOSS 1.080, BEST LOSS 1.080, BEST EPOCH 1
EVALUATE Epoch 2/50, LOSS 0.807, BEST LOSS 0.807, BEST EPOCH 2
EVALUATE Epoch 3/50, LOSS 0.726, BEST LOSS 0.726, BEST EPOCH 3
EVALUATE Epoch 4/50, LOSS 0.860, BEST LOSS 0.726, BEST EPOCH 3
EVALUATE Epoch 5/50, LOSS 0.377, BEST LOSS 0.377, BEST EPOCH 5
EVALUATE Epoch 6/50, LOSS 0.322, BEST LOSS 0.322, BEST EPOCH 6
EVALUATE Epoch 7/50, LOSS 0.274, BEST LOSS 0.274, BEST EPOCH 7
EVALUATE Epoch 8/50, LOSS 0.345, BEST LOSS 0.274, BEST EPOCH 7
EVALUATE Epoch 9/50, LOSS 0.250, BEST LOSS 0.250, BEST EPOCH 9
EVALUATE Epoch 10/50, LOSS 0.272, BEST LOSS 0.250, BEST EPOCH 9
EVALUATE Epoch 11/50, LOSS 0.209, BEST LOSS 0.209, BEST EPOCH 11
EVALUATE Epoch 12/50, LOSS 0.277, BEST LOSS 0.209, BEST EPOCH 11
EVALUATE Epoch 13/50, LOSS 0.203, BEST LOSS 0.203, BEST EPOCH 13
EVALUATE Epoch 14/50, LOSS 0.405, BEST LOSS 0.203, BEST EPOCH 13
EVALUATE Epoch 15/50, LOSS 0.269, BEST LOSS 0.203, BEST EPOCH 13
EVALUATE Epoch 16/50, LOSS 0.278, BEST LOSS 0.203, BEST EPOCH 13
EVALUATE Epoch 17/50, LOSS 0.158, BEST LOSS 0.158, BEST EPOCH 17
EVALUATE Epoch 18/50, LOSS 0.153, BEST LOSS 0.153, BEST EPOCH 18
EVALUATE Epoch 19/50, LOSS 0.221, BEST LOSS 0.153, BEST EPOCH 18
EVALUATE Epoch 20/50, LOSS 0.194, BEST LOSS 0.153, BEST EPOCH 18
EVALUATE Epoch 21/50, LOSS 0.217, BEST LOSS 0.153, BEST EPOCH 18
EVALUATE Epoch 22/50, LOSS 0.283, BEST LOSS 0.153, BEST EPOCH 18
EVALUATE Epoch 23/50, LOSS 0.176, BEST LOSS 0.153, BEST EPOCH 18
EVALUATE Epoch 24/50, LOSS 0.177, BEST LOSS 0.153, BEST EPOCH 18
EVALUATE Epoch 25/50, LOSS 0.139, BEST LOSS 0.139, BEST EPOCH 25
EVALUATE Epoch 26/50, LOSS 0.159, BEST LOSS 0.139, BEST EPOCH 25
EVALUATE Epoch 27/50, LOSS 0.194, BEST LOSS 0.139, BEST EPOCH 25
EVALUATE Epoch 28/50, LOSS 0.174, BEST LOSS 0.139, BEST EPOCH 25
EVALUATE Epoch 29/50, LOSS 0.163, BEST LOSS 0.139, BEST EPOCH 25
EVALUATE Epoch 30/50, LOSS 0.089, BEST LOSS 0.089, BEST EPOCH 30
EVALUATE Epoch 31/50, LOSS 0.081, BEST LOSS 0.081, BEST EPOCH 31
EVALUATE Epoch 32/50, LOSS 0.078, BEST LOSS 0.078, BEST EPOCH 32
EVALUATE Epoch 33/50, LOSS 0.074, BEST LOSS 0.074, BEST EPOCH 33
EVALUATE Epoch 34/50, LOSS 0.083, BEST LOSS 0.074, BEST EPOCH 33
EVALUATE Epoch 35/50, LOSS 0.074, BEST LOSS 0.074, BEST EPOCH 33
EVALUATE Epoch 36/50, LOSS 0.071, BEST LOSS 0.071, BEST EPOCH 36
EVALUATE Epoch 37/50, LOSS 0.068, BEST LOSS 0.068, BEST EPOCH 37
EVALUATE Epoch 38/50, LOSS 0.071, BEST LOSS 0.068, BEST EPOCH 37
EVALUATE Epoch 39/50, LOSS 0.071, BEST LOSS 0.068, BEST EPOCH 37
EVALUATE Epoch 40/50, LOSS 0.065, BEST LOSS 0.065, BEST EPOCH 40
EVALUATE Epoch 41/50, LOSS 0.063, BEST LOSS 0.063, BEST EPOCH 41
EVALUATE Epoch 42/50, LOSS 0.063, BEST LOSS 0.063, BEST EPOCH 42
EVALUATE Epoch 43/50, LOSS 0.069, BEST LOSS 0.063, BEST EPOCH 42
EVALUATE Epoch 44/50, LOSS 0.059, BEST LOSS 0.059, BEST EPOCH 44
EVALUATE Epoch 45/50, LOSS 0.063, BEST LOSS 0.059, BEST EPOCH 44
EVALUATE Epoch 46/50, LOSS 0.059, BEST LOSS 0.059, BEST EPOCH 46
EVALUATE Epoch 47/50, LOSS 0.070, BEST LOSS 0.059, BEST EPOCH 46
EVALUATE Epoch 48/50, LOSS 0.062, BEST LOSS 0.059, BEST EPOCH 46
EVALUATE Epoch 49/50, LOSS 0.058, BEST LOSS 0.058, BEST EPOCH 49
EVALUATE Epoch 50/50, LOSS 0.055, BEST LOSS 0.055, BEST EPOCH 50
