EVALUATE Epoch 1/50, LOSS 8.775, BEST LOSS 8.775, BEST EPOCH 1
EVALUATE Epoch 1/50, LOSS 7.610, BEST LOSS 7.610, BEST EPOCH 1
EVALUATE Epoch 2/50, LOSS 2.911, BEST LOSS 2.911, BEST EPOCH 2
EVALUATE Epoch 3/50, LOSS 1.456, BEST LOSS 1.456, BEST EPOCH 3
EVALUATE Epoch 4/50, LOSS 0.850, BEST LOSS 0.850, BEST EPOCH 4
EVALUATE Epoch 5/50, LOSS 0.589, BEST LOSS 0.589, BEST EPOCH 5
EVALUATE Epoch 6/50, LOSS 0.528, BEST LOSS 0.528, BEST EPOCH 6
EVALUATE Epoch 7/50, LOSS 0.400, BEST LOSS 0.400, BEST EPOCH 7
EVALUATE Epoch 8/50, LOSS 0.431, BEST LOSS 0.400, BEST EPOCH 7
EVALUATE Epoch 9/50, LOSS 0.398, BEST LOSS 0.398, BEST EPOCH 9
EVALUATE Epoch 10/50, LOSS 0.326, BEST LOSS 0.326, BEST EPOCH 10
EVALUATE Epoch 11/50, LOSS 0.311, BEST LOSS 0.311, BEST EPOCH 11
EVALUATE Epoch 12/50, LOSS 0.457, BEST LOSS 0.311, BEST EPOCH 11
EVALUATE Epoch 13/50, LOSS 0.312, BEST LOSS 0.311, BEST EPOCH 11
EVALUATE Epoch 14/50, LOSS 0.514, BEST LOSS 0.311, BEST EPOCH 11
EVALUATE Epoch 15/50, LOSS 0.247, BEST LOSS 0.247, BEST EPOCH 15
EVALUATE Epoch 16/50, LOSS 0.260, BEST LOSS 0.247, BEST EPOCH 15
EVALUATE Epoch 17/50, LOSS 0.412, BEST LOSS 0.247, BEST EPOCH 15
EVALUATE Epoch 18/50, LOSS 0.429, BEST LOSS 0.247, BEST EPOCH 15
EVALUATE Epoch 19/50, LOSS 0.237, BEST LOSS 0.237, BEST EPOCH 19
EVALUATE Epoch 20/50, LOSS 0.249, BEST LOSS 0.237, BEST EPOCH 19
EVALUATE Epoch 21/50, LOSS 0.260, BEST LOSS 0.237, BEST EPOCH 19
EVALUATE Epoch 22/50, LOSS 0.220, BEST LOSS 0.220, BEST EPOCH 22
EVALUATE Epoch 23/50, LOSS 0.318, BEST LOSS 0.220, BEST EPOCH 22
EVALUATE Epoch 24/50, LOSS 0.207, BEST LOSS 0.207, BEST EPOCH 24
EVALUATE Epoch 25/50, LOSS 0.210, BEST LOSS 0.207, BEST EPOCH 24
EVALUATE Epoch 26/50, LOSS 0.258, BEST LOSS 0.207, BEST EPOCH 24
EVALUATE Epoch 27/50, LOSS 0.312, BEST LOSS 0.207, BEST EPOCH 24
EVALUATE Epoch 28/50, LOSS 0.196, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 29/50, LOSS 0.238, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 30/50, LOSS 248.250, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 31/50, LOSS 248.087, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 32/50, LOSS 243.479, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 33/50, LOSS 250.679, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 34/50, LOSS 249.917, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 35/50, LOSS 248.207, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 36/50, LOSS 245.367, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 37/50, LOSS 255.347, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 38/50, LOSS 248.489, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 39/50, LOSS 244.278, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 40/50, LOSS 249.198, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 41/50, LOSS 247.084, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 42/50, LOSS 246.163, BEST LOSS 0.196, BEST EPOCH 28
EVALUATE Epoch 29/50, LOSS 0.839, BEST LOSS 0.839, BEST EPOCH 29
EVALUATE Epoch 30/50, LOSS 0.683, BEST LOSS 0.683, BEST EPOCH 30
EVALUATE Epoch 31/50, LOSS 0.306, BEST LOSS 0.306, BEST EPOCH 31
EVALUATE Epoch 32/50, LOSS 0.220, BEST LOSS 0.220, BEST EPOCH 32
EVALUATE Epoch 33/50, LOSS 0.228, BEST LOSS 0.220, BEST EPOCH 32
EVALUATE Epoch 34/50, LOSS 0.186, BEST LOSS 0.186, BEST EPOCH 34
EVALUATE Epoch 35/50, LOSS 0.175, BEST LOSS 0.175, BEST EPOCH 35
EVALUATE Epoch 36/50, LOSS 0.207, BEST LOSS 0.175, BEST EPOCH 35
EVALUATE Epoch 37/50, LOSS 0.170, BEST LOSS 0.170, BEST EPOCH 37
EVALUATE Epoch 38/50, LOSS 0.154, BEST LOSS 0.154, BEST EPOCH 38
EVALUATE Epoch 39/50, LOSS 0.156, BEST LOSS 0.154, BEST EPOCH 38
EVALUATE Epoch 40/50, LOSS 0.153, BEST LOSS 0.153, BEST EPOCH 40
EVALUATE Epoch 41/50, LOSS 0.147, BEST LOSS 0.147, BEST EPOCH 41
EVALUATE Epoch 42/50, LOSS 0.153, BEST LOSS 0.147, BEST EPOCH 41
EVALUATE Epoch 43/50, LOSS 0.139, BEST LOSS 0.139, BEST EPOCH 43
EVALUATE Epoch 44/50, LOSS 0.130, BEST LOSS 0.130, BEST EPOCH 44
EVALUATE Epoch 45/50, LOSS 0.174, BEST LOSS 0.130, BEST EPOCH 44
EVALUATE Epoch 46/50, LOSS 0.149, BEST LOSS 0.130, BEST EPOCH 44
EVALUATE Epoch 47/50, LOSS 0.164, BEST LOSS 0.130, BEST EPOCH 44
EVALUATE Epoch 48/50, LOSS 0.130, BEST LOSS 0.130, BEST EPOCH 44
EVALUATE Epoch 49/50, LOSS 0.122, BEST LOSS 0.122, BEST EPOCH 49
EVALUATE Epoch 50/50, LOSS 0.130, BEST LOSS 0.122, BEST EPOCH 49
