TRAIN EPOCH 1/50, ITER 95/147, LOSS 0.891
TRAIN EPOCH 1/50, ITER 96/147, LOSS 0.886
TRAIN EPOCH 1/50, ITER 97/147, LOSS 0.881
TRAIN EPOCH 1/50, ITER 98/147, LOSS 0.877
TRAIN EPOCH 1/50, ITER 99/147, LOSS 0.872
TRAIN EPOCH 1/50, ITER 100/147, LOSS 0.867
TRAIN EPOCH 1/50, ITER 101/147, LOSS 0.863
TRAIN EPOCH 1/50, ITER 102/147, LOSS 0.858
TRAIN EPOCH 1/50, ITER 103/147, LOSS 0.853
TRAIN EPOCH 1/50, ITER 104/147, LOSS 0.848
TRAIN EPOCH 1/50, ITER 105/147, LOSS 0.844
TRAIN EPOCH 1/50, ITER 106/147, LOSS 0.839
TRAIN EPOCH 1/50, ITER 107/147, LOSS 0.834
TRAIN EPOCH 1/50, ITER 108/147, LOSS 0.831
TRAIN EPOCH 1/50, ITER 109/147, LOSS 0.826
TRAIN EPOCH 1/50, ITER 110/147, LOSS 0.822
TRAIN EPOCH 1/50, ITER 111/147, LOSS 0.817
TRAIN EPOCH 1/50, ITER 112/147, LOSS 0.812
TRAIN EPOCH 1/50, ITER 113/147, LOSS 0.807
TRAIN EPOCH 1/50, ITER 114/147, LOSS 0.802
TRAIN EPOCH 1/50, ITER 115/147, LOSS 0.799
TRAIN EPOCH 1/50, ITER 116/147, LOSS 0.794
TRAIN EPOCH 1/50, ITER 117/147, LOSS 0.790
TRAIN EPOCH 1/50, ITER 118/147, LOSS 0.787
TRAIN EPOCH 1/50, ITER 119/147, LOSS 0.784
TRAIN EPOCH 1/50, ITER 120/147, LOSS 0.780
TRAIN EPOCH 1/50, ITER 121/147, LOSS 0.777
TRAIN EPOCH 1/50, ITER 122/147, LOSS 0.773
TRAIN EPOCH 1/50, ITER 123/147, LOSS 0.770
TRAIN EPOCH 1/50, ITER 124/147, LOSS 0.767
TRAIN EPOCH 1/50, ITER 125/147, LOSS 0.763
TRAIN EPOCH 1/50, ITER 126/147, LOSS 0.760
TRAIN EPOCH 1/50, ITER 127/147, LOSS 0.756
TRAIN EPOCH 1/50, ITER 128/147, LOSS 0.753
TRAIN EPOCH 1/50, ITER 129/147, LOSS 0.749
TRAIN EPOCH 1/50, ITER 130/147, LOSS 0.746
TRAIN EPOCH 1/50, ITER 131/147, LOSS 0.742
TRAIN EPOCH 1/50, ITER 132/147, LOSS 0.739
TRAIN EPOCH 1/50, ITER 133/147, LOSS 0.736
TRAIN EPOCH 1/50, ITER 134/147, LOSS 0.733
